payment_sk,id,customer_id,billing_address_id,channel_id,store_id,method,status_payment,amount,paid_at_date_id,paid_at_time,transaction_ref
66,7000000065,1062,3633.0,1,,GATEWAY,PAID,43888.8,20240918,07:43:41,TX-JPJLBWJ1IRVA
67,7000000066,988,2187.0,1,,GATEWAY,FAILED,43888.8,,,
68,7000000067,778,2598.0,1,,GATEWAY,REFUNDED,18687.0,20250412,04:23:15,TX-MZNG9JBD25OS
69,7000000068,77,2743.0,1,,CARD,PAID,102166.35,20241204,01:53:38,TX-PRTYVEKSVQUQ
70,7000000069,700,2468.0,1,,CARD,PAID,53361.0,20240614,13:38:45,TX-4QPQRW6T77VI
71,7000000070,425,3743.0,1,,CARD,PAID,15420.0,20250728,03:51:05,TX-4N53JR8S1YKT
72,7000000071,1271,2518.0,2,3.0,CARD,PAID,14229.6,20240724,02:00:06,TX-222J0CRS0SJJ
73,7000000072,1129,3121.0,1,,GATEWAY,PAID,17018.25,20240204,08:20:17,TX-P43FW2ENH6BE
74,7000000073,1224,1481.0,1,,CARD,PAID,19576.35,20241209,19:18:19,TX-HU7AKHXTZ1YN
75,7000000074,446,4068.0,1,,CARD,PAID,69071.4,20241214,15:41:02,TX-TR4GSE74V5DM
76,7000000075,867,2940.0,1,,CARD,PAID,36474.0,20250324,08:16:20,TX-SK0540SEJOKI
77,7000000076,127,1419.0,1,,CARD,PAID,29659.2,20240302,10:21:11,TX-N5EHQ403IVWA
78,7000000077,874,1204.0,2,1.0,CASH,PAID,28459.2,20241206,03:39:17,TX-MBGQQW2NEF1F
79,7000000078,814,1370.0,1,,CARD,PAID,49186.5,20250112,21:43:22,TX-IKM85NPGE98X
80,7000000079,1189,3302.0,1,,GATEWAY,PAID,40404.0,20250918,13:56:19,TX-UIU52W85YPS8
81,7000000080,584,3166.0,1,,CARD,PAID,18687.0,20241111,07:28:22,TX-X6TWS79CTHK8
82,7000000081,1433,3156.0,1,,CARD,PAID,64788.0,20250202,23:45:35,TX-1VPIVXSYTP4J
83,7000000082,670,3087.0,1,,CARD,PAID,42582.0,20250921,12:27:35,TX-472J8NP9S8E9
84,7000000083,464,3865.0,1,,GATEWAY,REFUNDED,47301.0,20240213,09:47:09,TX-SBJLVY6L1XXX
85,7000000084,535,,1,,GATEWAY,PAID,19050.0,20241127,12:26:24,TX-GJJBKDYPJZ5E
86,7000000085,655,3535.0,1,,GATEWAY,PAID,16441.08,20250302,02:58:24,TX-4YYBKHTAB92W
87,7000000086,833,1851.0,1,,GATEWAY,PAID,14268.0,20250820,00:52:28,TX-H6SGL5WR6ZEB
88,7000000087,490,2315.0,1,,CARD,FAILED,14994.0,,,
89,7000000088,360,1100.0,1,,GATEWAY,PAID,69144.0,20240203,20:58:21,TX-YO60F0EA8647
90,7000000089,1227,3142.0,1,,CARD,PAID,18442.5,20250620,12:09:30,TX-JKULC5L36UG4
91,7000000090,624,3886.0,1,,CARD,PAID,45458.25,20240129,03:31:23,TX-IO1AR1ZGZBUT
92,7000000091,228,2739.0,1,,GATEWAY,PAID,110342.92,20240219,18:12:47,TX-NDNQBVR081I1
93,7000000092,770,1526.0,1,,GATEWAY,PAID,37200.0,20240615,03:46:23,TX-7539MH4QX495
94,7000000093,54,3325.0,2,2.0,CASH,PAID,102456.75,20241115,08:26:31,TX-V4AUXB59ROGA
95,7000000094,1006,3233.0,2,4.0,CASH,PAID,90387.0,20241229,07:05:36,TX-LBRHLVO2Y93F
96,7000000095,247,2232.0,1,,GATEWAY,PAID,59897.1,20250926,17:29:43,TX-MBMP050ORNEE
97,7000000096,1127,2315.0,2,3.0,CASH,PAID,42688.8,20250524,05:43:41,TX-14WCNJXENRUU
98,7000000097,757,3449.0,2,2.0,CASH,PAID,18676.35,20240614,20:56:54,TX-TS02NI4GYBVJ
99,7000000098,520,4131.0,1,,CARD,PAID,44351.1,20250117,06:09:07,TX-2EHPQP6AIXY3
100,7000000099,258,2511.0,1,,CARD,PAID,14520.0,20240228,09:31:08,TX-6QBJB2NZNX9G
101,7000000100,467,2632.0,1,,CARD,FAILED,28909.08,,,
102,7000000101,3,3636.0,1,,GATEWAY,PAID,44460.0,20240331,10:45:40,TX-N8LT25CDZBGQ
103,7000000102,334,3616.0,1,,CARD,PAID,43888.8,20241120,15:00:43,TX-UA4DQXIN6727
104,7000000103,802,1549.0,2,3.0,CASH,PENDING,37243.8,,,
105,7000000104,999,1251.0,1,,CARD,REFUNDED,37500.0,20240324,12:55:17,TX-GYPM2FM72C6Z
106,7000000105,176,1458.0,1,,CARD,PAID,27336.0,20240512,15:27:32,TX-HSNZ6UUKGLAE
107,7000000106,801,1603.0,1,,GATEWAY,PAID,19050.0,20250210,02:09:53,TX-886LJXE6L2ZU
108,7000000107,1113,1747.0,1,,CARD,PAID,42064.2,20240522,14:56:26,TX-W9F9L785FTPB
109,7000000108,810,,2,4.0,CASH,PAID,56029.05,20250704,10:11:46,TX-QM24BIHB24AY
110,7000000109,581,1700.0,2,4.0,CARD,PAID,39930.0,20240424,16:18:05,TX-18ZITZHX2G7U
111,7000000110,1284,4022.0,2,2.0,TRANSFER,FAILED,82364.7,,,
112,7000000111,1333,3898.0,1,,GATEWAY,PAID,19876.35,20241221,16:47:41,TX-LLQCAQ4XRN0T
113,7000000112,24,1802.0,2,2.0,CASH,PAID,92891.7,20250302,12:43:31,TX-MH4GBLCKUHYD
114,7000000113,1222,2891.0,2,1.0,CARD,FAILED,15652.56,,,
115,7000000114,63,3176.0,2,1.0,TRANSFER,PAID,11761.2,20240919,23:06:28,TX-42Q8BZ53GWTF
116,7000000115,1078,3860.0,1,,CARD,REFUNDED,27636.0,20240219,21:47:44,TX-PLUI46HDV8I9
117,7000000116,1091,3783.0,1,,CARD,PAID,49116.0,20240704,03:24:47,TX-FCJTQEJPPTTX
118,7000000117,524,4169.0,1,,CARD,PAID,30240.0,20250120,07:11:52,TX-AKHIN8QKBR9F
119,7000000118,1229,2454.0,1,,CARD,PAID,47857.68,20250818,15:04:32,TX-5HRXEHTTUWX2
120,7000000119,458,3841.0,2,4.0,CARD,PAID,17787.0,20250716,17:54:38,TX-IWD52SW6D9WI
121,7000000120,68,2462.0,1,,CARD,PAID,14229.6,20240421,02:41:14,TX-ILPQFBQW1HUK
122,7000000121,959,3702.0,2,4.0,TRANSFER,PAID,45520.2,20241220,23:03:44,TX-921BB2YAJ1WR
123,7000000122,356,4163.0,2,1.0,CASH,PAID,43560.0,20250830,17:57:49,TX-89TOCP8FP1K8
124,7000000123,530,2280.0,1,,CARD,FAILED,18987.0,,,
125,7000000124,1420,2264.0,1,,GATEWAY,PAID,67367.64,20240206,20:15:32,TX-1XC2I92PV07U
126,7000000125,279,1950.0,2,3.0,TRANSFER,PAID,62073.0,20240711,21:16:06,TX-CII1J0F53QB3
127,7000000126,779,1202.0,2,3.0,CASH,PAID,18150.0,20240612,11:24:10,TX-E46XAAD0XH2M
128,7000000127,1383,4137.0,1,,CARD,PAID,69988.5,20240229,05:19:21,TX-3DYYWZL0OZT4
129,7000000128,1189,1881.0,1,,CARD,FAILED,101470.2,,,
130,7000000129,1016,2991.0,1,,CARD,PAID,76858.8,20250920,11:24:46,TX-RRK6UJVBP3BA
131,7000000130,595,1160.0,2,3.0,CASH,PAID,14701.5,20250523,01:27:57,TX-J90VB1C4W9I4
132,7000000131,902,3016.0,2,4.0,CASH,PAID,47916.0,20240125,19:24:41,TX-Y1HNXIYYVIWS
133,7000000132,317,3597.0,1,,CARD,PAID,33216.6,20240728,03:23:51,TX-M2V0MW405G00
134,7000000133,1229,,2,2.0,TRANSFER,PAID,18150.0,20240616,02:46:34,TX-Z1JB0OXDFNS8
135,7000000134,279,1059.0,2,3.0,CASH,PAID,75358.8,20240108,22:05:46,TX-98P7PRJHHZH1
136,7000000135,1498,3605.0,2,4.0,CASH,PAID,39930.0,20240601,16:35:31,TX-1CGWJ9S8U287
137,7000000136,140,3022.0,1,,CARD,PAID,34485.0,20250122,18:30:04,TX-BW4Q46DERG87
138,7000000137,1115,1458.0,1,,GATEWAY,PAID,14229.6,20241118,18:46:06,TX-V1KGVXLOBICL
139,7000000138,1240,2473.0,1,,CARD,PAID,42882.0,20240106,06:23:39,TX-PXS2LYM9VUDM
140,7000000139,590,2324.0,1,,CARD,PAID,17535.0,20240408,09:11:09,TX-6FRNX7VHUKP5
141,7000000140,645,2874.0,2,3.0,CASH,PAID,16008.3,20250220,04:56:48,TX-KDQIUT6HRCFU
142,7000000141,545,3473.0,2,1.0,TRANSFER,REFUNDED,14374.8,20241203,06:24:24,TX-TJABWHM24N2G
143,7000000142,1208,4060.0,1,,CARD,REFUNDED,62854.26,20250626,21:32:09,TX-ATMX5MVNFKMN
144,7000000143,551,2109.0,2,1.0,CARD,PAID,80586.0,20240608,09:59:40,TX-523ARBBR7DKI
145,7000000144,569,1210.0,2,1.0,CARD,FAILED,35937.0,,,
146,7000000145,1305,,1,,GATEWAY,PAID,37800.0,20250721,05:47:44,TX-30JNSPSKTRCG
147,7000000146,280,1190.0,1,,CARD,PAID,100951.88,20240505,19:52:36,TX-XAZ8J2P7RN3J
148,7000000147,1338,,1,,CARD,PAID,72701.4,20241208,14:23:08,TX-AY74FPLLGRCU
149,7000000148,84,1588.0,1,,CARD,PAID,43888.8,20250624,08:11:01,TX-FO8HBF5JCDZ9
150,7000000149,655,1077.0,1,,GATEWAY,PAID,17235.0,20250123,19:14:19,TX-Q8HCQUTXQ7XL
151,7000000150,513,4045.0,2,4.0,CARD,PAID,39131.4,20250531,14:20:50,TX-16PJPVWP8VO5
152,7000000151,884,1845.0,2,3.0,CARD,PAID,42688.8,20240417,00:06:04,TX-D5E93RC1Y9LZ
153,7000000152,385,2549.0,2,2.0,CARD,PAID,11761.2,20240109,12:18:03,TX-60N330PGBOPH
154,7000000153,723,1748.0,2,2.0,CARD,FAILED,13068.0,,,
155,7000000154,110,3109.0,2,1.0,CASH,PAID,51455.25,20240702,10:02:42,TX-C5TG8BKA8V0I
156,7000000155,1197,3704.0,1,,CARD,PAID,15420.0,20240212,02:38:46,TX-QDUILY7E5RXR
157,7000000156,833,2190.0,2,2.0,CASH,PAID,51727.5,20241029,22:18:07,TX-38M7D53IIBFW
158,7000000157,371,2181.0,2,3.0,TRANSFER,FAILED,71692.5,,,
159,7000000158,905,2803.0,2,1.0,CARD,PAID,36300.0,20240425,10:37:56,TX-2D7GG3Z4ZLDA
160,7000000159,389,4176.0,1,,CARD,PAID,16141.08,20240714,07:58:24,TX-WQF78OSLQBW6
161,7000000160,1299,,2,4.0,TRANSFER,PAID,35574.0,20240614,23:29:35,TX-OTEFX8XIJPHG
162,7000000161,725,,1,,GATEWAY,PAID,55350.0,20241022,19:31:01,TX-ELH913SD09OY
163,7000000162,645,1157.0,2,4.0,CARD,PAID,27588.0,20250801,20:20:03,TX-8EDJM7W4HXIO
164,7000000163,584,1980.0,1,,CARD,PAID,27036.0,20240227,10:30:38,TX-FA2N1L9GFVND
165,7000000164,436,4079.0,1,,CARD,PAID,77130.0,20250223,22:18:41,TX-YH73YULSS506
166,7000000165,293,3891.0,1,,GATEWAY,PAID,29959.2,20250828,06:06:56,TX-RBYQGYIW59OD
167,7000000166,1065,,1,,GATEWAY,PAID,53744.25,20250729,19:39:32,TX-D8WL2IKBUTZI
168,7000000167,1234,2641.0,1,,CARD,FAILED,58172.85,,,
169,7000000168,400,3129.0,1,,CARD,FAILED,50205.0,,,
170,7000000169,251,,1,,GATEWAY,PAID,14268.0,20240709,09:03:47,TX-XQWOUYAADU90
171,7000000170,764,,2,4.0,TRANSFER,PAID,36300.0,20240329,16:07:40,TX-6YQEF864BWX0
172,7000000171,1490,3729.0,1,,CARD,PENDING,15429.6,,,
173,7000000172,181,1603.0,1,,GATEWAY,PAID,28488.0,20240507,22:39:45,TX-0DQD29Q3T08A
174,7000000173,693,2845.0,1,,CARD,PAID,39315.0,20250618,11:40:09,TX-ALLSSFK7QIRJ
175,7000000174,672,3471.0,2,2.0,TRANSFER,PAID,14229.6,20240908,09:13:23,TX-7EGA4TIAD1CG
176,7000000175,786,2695.0,1,,GATEWAY,PAID,15420.0,20240602,06:23:40,TX-4RCDBOT74U6U
177,7000000176,1347,2256.0,2,2.0,CASH,PAID,17968.5,20250227,12:13:53,TX-RZQOC4EU0DBF
178,7000000177,628,,1,,CARD,PAID,16718.25,20241125,18:44:13,TX-8KSFQE50C7WX
179,7000000178,1485,4032.0,2,2.0,CARD,PAID,16335.0,20250504,14:20:13,TX-UOPZ2LNTJYIU
180,7000000179,805,2862.0,1,,GATEWAY,PAID,88746.0,20250813,13:58:40,TX-3467WCDPI2EY
181,7000000180,445,3681.0,1,,GATEWAY,PAID,31692.0,20240522,10:44:42,TX-JKFCQJUKURK1
182,7000000181,560,3245.0,1,,CARD,PAID,29359.2,20241113,23:15:20,TX-XWTR1UEIAQ3J
183,7000000182,403,2521.0,1,,GATEWAY,PAID,31546.8,20240910,23:03:06,TX-7L09W7WAP0O0
184,7000000183,693,2834.0,2,1.0,TRANSFER,PAID,32670.0,20241028,08:02:26,TX-A0GOAJB6RU3T
185,7000000184,274,3609.0,2,2.0,CASH,PAID,16335.0,20250513,17:25:54,TX-W1W31Q5F7XKK
186,7000000185,804,1596.0,1,,CARD,PAID,73611.24,20240720,09:03:50,TX-QLQP66ZVGIMR
187,7000000186,1495,3581.0,1,,GATEWAY,PAID,14694.0,20240731,11:31:33,TX-T1WW8PAWHLQ7
188,7000000187,48,2998.0,2,1.0,CARD,REFUNDED,39204.0,20250214,02:45:02,TX-LNM2XQQ0VBQ6
189,7000000188,661,3865.0,2,3.0,CARD,PAID,32670.0,20250825,12:59:12,TX-CGL3TKQVXCRL
190,7000000189,984,4016.0,1,,GATEWAY,PAID,45723.24,20240504,16:34:34,TX-RYV7WF3XMBAU
191,7000000190,1384,2807.0,1,,CARD,PAID,14229.6,20240606,14:15:54,TX-ACMA2H5CSRRQ
192,7000000191,788,2175.0,1,,CARD,FAILED,106896.24,,,
193,7000000192,456,2129.0,2,2.0,CASH,PAID,14520.0,20240310,22:48:50,TX-R97RQQIO1QLM
194,7000000193,427,,1,,CARD,PAID,40404.0,20240215,11:24:55,TX-FWUNIBW1GIX5
195,7000000194,866,1909.0,1,,GATEWAY,PAID,54450.0,20250915,03:18:48,TX-UI9XQ56QBUBU
196,7000000195,371,1348.0,1,,CARD,PAID,56666.4,20250301,17:52:06,TX-L3XKKJLIVBCN
197,7000000196,1000,2477.0,1,,GATEWAY,PAID,37500.0,20250817,05:25:58,TX-R18606ZCYXQ6
198,7000000197,1404,3532.0,1,,GATEWAY,PAID,14268.0,20240410,02:49:19,TX-511R6MDMB6O7
199,7000000198,1159,,1,,CARD,PAID,36183.6,20240203,22:21:07,TX-HVOGE67SNVCE
200,7000000199,1040,,1,,GATEWAY,PAID,59280.0,20250320,13:29:11,TX-GMUCJI7EKVZA
201,7000000200,464,3883.0,1,,GATEWAY,PAID,27036.0,20240927,06:00:56,TX-FVLC254ZH0QA
202,7000000201,166,2627.0,1,,GATEWAY,REFUNDED,50749.5,20241117,06:49:12,TX-UHXXCDXF1Q2B
203,7000000202,1056,2258.0,2,3.0,CARD,PAID,43560.0,20250329,04:10:42,TX-9BINMYXDHZ0E
204,7000000203,925,3295.0,2,3.0,CARD,PAID,39204.0,20241118,07:47:20,TX-QCZ1LK4KTCM2
205,7000000204,488,1674.0,1,,GATEWAY,FAILED,50205.0,,,
206,7000000205,903,1455.0,1,,CARD,PAID,17787.0,20241001,21:39:53,TX-ZU368UUJ2G43
207,7000000206,70,2444.0,1,,CARD,PAID,29659.2,20250728,05:57:55,TX-811NAE2DWBNU
208,7000000207,1459,,1,,GATEWAY,PAID,15841.08,20250509,17:30:13,TX-FAXI1S9NPAXU
209,7000000208,500,2834.0,2,2.0,CASH,PAID,53905.5,20250414,19:08:06,TX-XR8ZBM8PE4L9
210,7000000209,361,1366.0,1,,CARD,PAID,31692.0,20250404,18:36:42,TX-ADKEL21AA6Y8
211,7000000210,476,1679.0,1,,CARD,PAID,17835.0,20250321,20:20:10,TX-FHAK7TJ2GWD8
212,7000000211,1400,2776.0,2,1.0,CASH,REFUNDED,80803.8,20250720,21:54:49,TX-4S764623AHW9
213,7000000212,945,1102.0,1,,CARD,PAID,15129.6,20250219,16:52:44,TX-W53ZG1IGAE7U
214,7000000213,1443,2386.0,1,,GATEWAY,PAID,20557.5,20240418,11:19:09,TX-LPBS1GYAPNRR
215,7000000214,1430,3110.0,1,,GATEWAY,PAID,28342.8,20240722,18:42:13,TX-T9LZX8UBES81
216,7000000215,1330,1609.0,1,,CARD,PAID,62628.15,20240201,10:10:09,TX-L8B7K0MHIHTF
217,7000000216,274,4101.0,1,,GATEWAY,PAID,19866.75,20250512,14:35:04,TX-1ZY6N78JP289
218,7000000217,1251,1451.0,2,2.0,CARD,PAID,72554.62,20240407,13:08:16,TX-GIU5DSJNCTFT
219,7000000218,176,1295.0,1,,CARD,PAID,39750.6,20240707,01:57:47,TX-U18MD3SZXDF0
220,7000000219,42,2201.0,2,2.0,CASH,PAID,54450.0,20240612,22:28:12,TX-4KBQ08F1IH6L
221,7000000220,582,2135.0,1,,CARD,PAID,14694.0,20250921,07:23:58,TX-IDZYNING1FJ4
222,7000000221,4,1069.0,2,1.0,CARD,PAID,28459.2,20250507,15:54:39,TX-GOAPADJXH3W6
223,7000000222,569,3282.0,2,2.0,CARD,PAID,26136.0,20240831,18:00:53,TX-4FCM56J61UM0
224,7000000223,157,1704.0,2,1.0,CASH,PAID,27442.8,20241224,04:04:43,TX-9W04PDTIIHE1
225,7000000224,649,1226.0,1,,CARD,PAID,50205.0,20250323,13:07:04,TX-SYTMXBV9MDPO
226,7000000225,1230,1051.0,1,,CARD,PAID,41164.2,20250807,12:56:58,TX-32II8K179YIX
227,7000000226,197,4111.0,1,,CARD,PAID,36483.6,20240718,06:12:34,TX-7SRDV4EEHRDW
228,7000000227,731,2936.0,1,,GATEWAY,PAID,43888.8,20240720,00:54:57,TX-O8PHNCK5QDAD
229,7000000228,506,3897.0,1,,CARD,PAID,43588.8,20250330,04:05:29,TX-KUBXDHQCLJXC
230,7000000229,751,4012.0,2,2.0,CARD,FAILED,16335.0,,,
231,7000000230,485,1197.0,1,,GATEWAY,PAID,40104.0,20241230,13:56:27,TX-YX4B18B9QCL3
232,7000000231,823,3283.0,1,,GATEWAY,PAID,58072.5,20240610,09:32:56,TX-PX6B4626S2QQ
233,7000000232,680,3902.0,1,,GATEWAY,PAID,45892.56,20250222,13:34:52,TX-FRUXTNXJ8UWO
234,7000000233,417,1527.0,1,,CARD,PAID,19050.0,20241122,07:54:06,TX-Z4JKA0J2NBI5
235,7000000234,677,2681.0,1,,CARD,PAID,29659.2,20250530,23:24:47,TX-E47RHOW59Q7S
236,7000000235,1327,3407.0,2,2.0,CASH,FAILED,26136.0,,,
237,7000000236,593,,2,1.0,CASH,PAID,29040.0,20250106,23:17:21,TX-QF1ADFQ90QPH
238,7000000237,606,2044.0,2,1.0,CASH,PAID,43560.0,20241117,18:03:35,TX-WRZQE54PFMIC
239,7000000238,137,3135.0,2,2.0,CASH,PAID,25613.28,20250324,18:27:32,TX-9S9BHWO6L2MX
240,7000000239,487,2294.0,1,,GATEWAY,PAID,63408.6,20240221,18:28:37,TX-XL0GF8E59JMZ
241,7000000240,909,1175.0,1,,CARD,REFUNDED,48090.0,20241022,16:29:14,TX-9A8F8BOR2KEG
242,7000000241,179,3958.0,2,1.0,CASH,PAID,71874.0,20241012,09:32:46,TX-QH1J5TAC9PFH
243,7000000242,183,2607.0,1,,GATEWAY,FAILED,46023.24,,,
244,7000000243,536,3918.0,1,,CARD,PAID,19965.0,20250610,18:40:04,TX-CUJ1U5XI18T1
245,7000000244,1341,,2,1.0,CARD,PAID,24829.2,20240914,22:03:43,TX-9T0Z6M9ZMXZX
246,7000000245,378,,2,1.0,CASH,REFUNDED,48823.5,20250509,14:51:09,TX-6831FEZ0MSG1
247,7000000246,548,1472.0,1,,GATEWAY,FAILED,74596.5,,,
248,7000000247,757,1112.0,1,,GATEWAY,PAID,19576.35,20241202,15:46:27,TX-HKUMCISYOXOM
249,7000000248,522,3135.0,2,4.0,TRANSFER,PAID,13068.0,20241028,10:08:17,TX-RLOSALSUL8SN
250,7000000249,1384,1286.0,2,3.0,CASH,PAID,47916.0,20240421,09:55:19,TX-NWGXV38PFITC
251,7000000250,473,2990.0,1,,CARD,PAID,52955.25,20240924,10:33:48,TX-32B62346A4RY
