shipment_sk,id,customer_id,shipping_address_id,channel_id,carrier,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,tracking_number
38,9000000037,482,3321,1,Correo Argentino,20240127,00:07:55,20240131,00:07:55,TRK-B103OLM2ZZ
39,9000000038,620,1,2,PICKUP,20240202,22:29:21,20240203,22:29:21,
40,9000000039,603,1,2,PICKUP,20240523,04:42:33,20240524,04:42:33,
41,9000000040,1028,2145,1,Correo Argentino,,,,,
42,9000000041,1005,3,2,PICKUP,20240114,09:59:03,20240115,09:59:03,
43,9000000042,790,1029,1,Correo Argentino,20240928,21:17:36,20240930,21:17:36,TRK-T6YEYXIY47
44,9000000043,665,3039,1,Correo Argentino,20240522,10:46:11,20240527,10:46:11,TRK-4BKBFC142A
45,9000000044,562,2131,1,Correo Argentino,20250903,12:32:15,20250905,12:32:15,TRK-OE8JOVHWT3
46,9000000045,998,2980,1,Correo Argentino,20240202,13:14:28,20240207,13:14:28,TRK-78RSWE9YNS
47,9000000046,276,1489,1,Correo Argentino,20240113,03:01:18,20240117,03:01:18,TRK-ENFRRYBCN7
48,9000000047,1469,2,2,PICKUP,20240308,08:53:37,20240309,08:53:37,
49,9000000048,408,2,2,PICKUP,20240913,16:10:57,20240914,16:10:57,
50,9000000049,1360,2,2,PICKUP,20240811,19:35:54,20240812,19:35:54,
51,9000000050,1423,1661,1,Correo Argentino,20240726,00:25:00,20240730,00:25:00,TRK-2UFL9MQ11P
52,9000000051,741,2863,1,Correo Argentino,20240916,06:10:33,20240919,06:10:33,TRK-TL9JNTSSQA
53,9000000052,969,2608,1,Correo Argentino,20241105,03:12:44,20241107,03:12:44,TRK-RK6C2JA3AN
54,9000000053,729,1454,1,Correo Argentino,,,,,
55,9000000054,251,4,2,PICKUP,20240316,02:19:59,20240317,02:19:59,
56,9000000055,1087,1,2,PICKUP,20250723,20:26:45,20250724,20:26:45,
57,9000000056,659,2887,1,Correo Argentino,20250413,15:37:15,20250416,15:37:15,TRK-F94E82XEU7
58,9000000057,338,4,2,PICKUP,20250221,05:51:12,20250222,05:51:12,
59,9000000058,1068,3071,1,Correo Argentino,,,,,
60,9000000059,958,3535,1,Correo Argentino,20240702,13:26:37,20240707,13:26:37,TRK-GYMRRQSRNH
61,9000000060,428,4,2,PICKUP,,,,,
62,9000000061,1337,1084,1,Correo Argentino,20250302,10:20:56,20250305,10:20:56,TRK-1JVAA08D71
63,9000000062,1442,3,2,PICKUP,20241223,12:02:28,20241224,12:02:28,
64,9000000063,939,1406,1,Correo Argentino,20240531,10:17:58,20240602,10:17:58,TRK-4QRWG4O3VS
65,9000000064,1409,1307,1,Correo Argentino,20250305,14:45:27,20250307,14:45:27,TRK-GHR4X51MO5
66,9000000065,1062,2399,1,Correo Argentino,20240918,00:43:41,20240922,00:43:41,TRK-Y0WLIWLAP3
67,9000000066,988,1134,1,Correo Argentino,,,,,
68,9000000067,778,2248,1,Correo Argentino,20250412,16:23:15,20250417,16:23:15,TRK-WPHKOKPY98
69,9000000068,77,1620,1,Correo Argentino,20241202,10:53:38,20241205,10:53:38,TRK-95ADJ6QXJ8
70,9000000069,700,1476,1,Correo Argentino,20240613,09:38:45,20240618,09:38:45,TRK-75UERJVV88
71,9000000070,425,1428,1,Correo Argentino,20250726,23:51:05,20250730,23:51:05,TRK-SHAJ4MH7LK
72,9000000071,1271,3,2,PICKUP,20240722,18:00:06,20240723,18:00:06,
73,9000000072,1129,3536,1,Correo Argentino,20240203,08:20:17,20240208,08:20:17,TRK-NH83FI4OJA
74,9000000073,1224,2119,1,Correo Argentino,20241208,21:18:19,20241211,21:18:19,TRK-3BTEYU6C8K
75,9000000074,446,3064,1,Correo Argentino,20241215,04:41:02,20241221,04:41:02,TRK-NQPTS0MMBB
76,9000000075,867,3681,1,Correo Argentino,20250323,18:16:20,20250327,18:16:20,TRK-A7O7MMZ1H4
77,9000000076,127,4185,1,Correo Argentino,20240302,10:21:11,20240304,10:21:11,TRK-Z56VK3U0QJ
78,9000000077,874,1,2,PICKUP,20241204,22:39:17,20241205,22:39:17,
79,9000000078,814,3363,1,Correo Argentino,20250110,21:43:22,20250113,21:43:22,TRK-N8XZ4OSU2M
80,9000000079,1189,1836,1,Correo Argentino,20250917,02:56:19,20250921,02:56:19,TRK-XADN2TVDNH
81,9000000080,584,1065,1,Correo Argentino,20241112,06:28:22,20241117,06:28:22,TRK-S1OQO0J4EA
82,9000000081,1433,1949,1,Correo Argentino,20250203,01:45:35,20250206,01:45:35,TRK-LSXL8NV9UZ
83,9000000082,670,4099,1,Correo Argentino,20250922,10:27:35,20250925,10:27:35,TRK-4U2I1W5ENR
84,9000000083,464,1838,1,Correo Argentino,20240211,17:47:09,20240215,17:47:09,TRK-3QNYBMC06W
85,9000000084,535,1149,1,Correo Argentino,20241126,14:26:24,20241129,14:26:24,TRK-LWD8M7AMND
86,9000000085,655,3181,1,Correo Argentino,20250302,02:58:24,20250304,02:58:24,TRK-0RBFVTM6X4
87,9000000086,833,3247,1,Correo Argentino,20250819,10:52:28,20250821,10:52:28,TRK-A169DTQM73
88,9000000087,490,2445,1,Correo Argentino,,,,,
89,9000000088,360,2456,1,Correo Argentino,20240204,13:58:21,20240209,13:58:21,TRK-TBUL818CS4
90,9000000089,1227,2172,1,Correo Argentino,20250619,12:09:30,20250622,12:09:30,TRK-BJOJ02WY0U
91,9000000090,624,1034,1,Correo Argentino,20240128,19:31:23,20240201,19:31:23,TRK-E1JQQXF2A8
92,9000000091,228,3298,1,Correo Argentino,20240218,18:12:47,20240220,18:12:47,TRK-9YZ6V1VTIX
93,9000000092,770,1772,1,Correo Argentino,20240614,13:46:23,20240616,13:46:23,TRK-UO5Q5LF7GD
94,9000000093,54,2,2,PICKUP,20241114,23:26:31,20241115,23:26:31,
95,9000000094,1006,4,2,PICKUP,20241227,03:05:36,20241228,03:05:36,
96,9000000095,247,2291,1,Correo Argentino,20250926,18:29:43,20250930,18:29:43,TRK-RRS7KQI5WW
97,9000000096,1127,3,2,PICKUP,20250523,10:43:41,20250524,10:43:41,
98,9000000097,757,2,2,PICKUP,20240612,17:56:54,20240613,17:56:54,
99,9000000098,520,3443,1,Correo Argentino,20250117,08:09:07,20250122,08:09:07,TRK-N1XL8YRR4C
100,9000000099,258,1224,1,Correo Argentino,20240228,14:31:08,20240303,14:31:08,TRK-HUON3QASLA
101,9000000100,467,2885,1,Correo Argentino,,,,,
102,9000000101,3,1219,1,Correo Argentino,20240331,02:45:40,20240405,02:45:40,TRK-BD9O45FG3M
103,9000000102,334,3863,1,Correo Argentino,20241120,07:00:43,20241124,07:00:43,TRK-RBXP2IU4CP
104,9000000103,802,3,2,PICKUP,20240325,03:53:52,20240326,03:53:52,
105,9000000104,999,4048,1,Correo Argentino,20240324,20:55:17,20240328,20:55:17,TRK-TPWY0TUZG2
106,9000000105,176,3440,1,Correo Argentino,20240513,04:27:32,20240516,04:27:32,TRK-3BQ6FWSKLW
107,9000000106,801,3956,1,Correo Argentino,20250209,08:09:53,20250211,08:09:53,TRK-6DCLEDO515
108,9000000107,1113,2943,1,Correo Argentino,20240523,03:56:26,20240528,03:56:26,TRK-RB1W0XWXVT
109,9000000108,810,4,2,PICKUP,20250704,04:11:46,20250705,04:11:46,
110,9000000109,581,4,2,PICKUP,20240422,08:18:05,20240423,08:18:05,
111,9000000110,1284,2,2,PICKUP,,,,,
112,9000000111,1333,2876,1,Correo Argentino,20241221,15:47:41,20241225,15:47:41,TRK-UXV2O2QSZO
113,9000000112,24,2,2,PICKUP,20250228,17:43:31,20250301,17:43:31,
114,9000000113,1222,1,2,PICKUP,,,,,
115,9000000114,63,1,2,PICKUP,20240917,08:06:28,20240918,08:06:28,
116,9000000115,1078,3,1,Correo Argentino,20240220,00:47:44,20240222,00:47:44,TRK-9SFI30M85Y
117,9000000116,1091,3609,1,Correo Argentino,20240702,10:24:47,20240705,10:24:47,TRK-GCUU54HEAG
118,9000000117,524,2254,1,Correo Argentino,20250120,22:11:52,20250123,22:11:52,TRK-YVM19QXR2C
119,9000000118,1229,3390,1,Correo Argentino,20250817,15:04:32,20250819,15:04:32,TRK-JRBNVL0OS3
120,9000000119,458,4,2,PICKUP,20250716,11:54:38,20250717,11:54:38,
121,9000000120,68,2653,1,Correo Argentino,20240419,21:41:14,20240421,21:41:14,TRK-YMYMMHLK1B
122,9000000121,959,4,2,PICKUP,20241220,05:03:44,20241221,05:03:44,
123,9000000122,356,1,2,PICKUP,20250830,14:57:49,20250831,14:57:49,
124,9000000123,530,1001,1,Correo Argentino,,,,,
125,9000000124,1420,4004,1,Correo Argentino,20240207,12:15:32,20240211,12:15:32,TRK-OUKA4E7YCS
126,9000000125,279,3,2,PICKUP,20240709,08:16:06,20240710,08:16:06,
127,9000000126,779,3,2,PICKUP,20240612,02:24:10,20240613,02:24:10,
128,9000000127,1383,3113,1,Correo Argentino,20240229,13:19:21,20240304,13:19:21,TRK-LP15TFTZWC
129,9000000128,1189,2352,1,Correo Argentino,,,,,
130,9000000129,1016,4036,1,Correo Argentino,20250918,22:24:46,20250921,22:24:46,TRK-OTE0Q32RV2
131,9000000130,595,3,2,PICKUP,20250521,02:27:57,20250522,02:27:57,
132,9000000131,902,4,2,PICKUP,20240125,03:24:41,20240126,03:24:41,
133,9000000132,317,3542,1,Correo Argentino,20240727,17:23:51,20240801,17:23:51,TRK-ZK0XF0TEFY
134,9000000133,1229,2,2,PICKUP,20240614,15:46:34,20240615,15:46:34,
135,9000000134,279,3,2,PICKUP,20240106,02:05:46,20240107,02:05:46,
136,9000000135,1498,4,2,PICKUP,20240530,07:35:31,20240531,07:35:31,
137,9000000136,140,2769,1,Correo Argentino,20250121,19:30:04,20250125,19:30:04,TRK-SB9FYY9V3Z
138,9000000137,1115,3541,1,Correo Argentino,20241116,23:46:06,20241121,23:46:06,TRK-8EM2BGA7SC
139,9000000138,1240,2700,1,Correo Argentino,20240104,08:23:39,20240108,08:23:39,TRK-W6GIOKOQS8
140,9000000139,590,2032,1,Correo Argentino,20240407,23:11:09,20240412,23:11:09,TRK-Q8P6U5PS47
141,9000000140,645,3,2,PICKUP,20250217,21:56:48,20250218,21:56:48,
142,9000000141,545,1,2,PICKUP,20241130,21:24:24,20241201,21:24:24,
143,9000000142,1208,2951,1,Correo Argentino,20250626,13:32:09,20250628,13:32:09,TRK-AT0A573HXB
144,9000000143,551,1,2,PICKUP,20240606,00:59:40,20240607,00:59:40,
145,9000000144,569,1,2,PICKUP,,,,,
146,9000000145,1305,4174,1,Correo Argentino,20250720,14:47:44,20250724,14:47:44,TRK-5WJ0VSGHJU
147,9000000146,280,3727,1,Correo Argentino,20240506,01:52:36,20240511,01:52:36,TRK-XNALT4U6O3
148,9000000147,1338,2468,1,Correo Argentino,20241208,21:23:08,20241213,21:23:08,TRK-TVS9QKJFPY
149,9000000148,84,3443,1,Correo Argentino,20250622,18:11:01,20250625,18:11:01,TRK-IAC72SYOJT
150,9000000149,655,2113,1,Correo Argentino,20250122,22:14:19,20250127,22:14:19,TRK-86P5XH4ZUZ
151,9000000150,513,4,2,PICKUP,20250530,23:20:50,20250531,23:20:50,
152,9000000151,884,3,2,PICKUP,20240416,17:06:04,20240417,17:06:04,
153,9000000152,385,2,2,PICKUP,20240108,00:18:03,20240109,00:18:03,
154,9000000153,723,2,2,PICKUP,,,,,
155,9000000154,110,1,2,PICKUP,20240701,13:02:42,20240702,13:02:42,
156,9000000155,1197,4121,1,Correo Argentino,20240213,00:38:46,20240217,00:38:46,TRK-MPCEM8ML7K
157,9000000156,833,2,2,PICKUP,20241029,15:18:07,20241030,15:18:07,
158,9000000157,371,3,2,PICKUP,,,,,
159,9000000158,905,1,2,PICKUP,20240424,23:37:56,20240425,23:37:56,
160,9000000159,389,1303,1,Correo Argentino,20240715,06:58:24,20240720,06:58:24,TRK-7LRC6G1HAV
161,9000000160,1299,4,2,PICKUP,20240613,10:29:35,20240614,10:29:35,
162,9000000161,725,3908,1,Correo Argentino,20241022,00:31:01,20241026,00:31:01,TRK-ZU6O2A2X17
163,9000000162,645,4,2,PICKUP,20250731,20:20:03,20250801,20:20:03,
164,9000000163,584,1132,1,Correo Argentino,20240225,10:30:38,20240229,10:30:38,TRK-U6UA2YY3HB
165,9000000164,436,3758,1,Correo Argentino,20250223,06:18:41,20250225,06:18:41,TRK-TMG2PU2NU4
166,9000000165,293,3357,1,Correo Argentino,20250828,08:06:56,20250901,08:06:56,TRK-D8V0DBNSG3
167,9000000166,1065,3492,1,Correo Argentino,20250728,20:39:32,20250730,20:39:32,TRK-TTEUGQV2X2
168,9000000167,1234,3702,1,Correo Argentino,,,,,
169,9000000168,400,3523,1,Correo Argentino,,,,,
170,9000000169,251,2325,1,Correo Argentino,20240709,20:03:47,20240714,20:03:47,TRK-NM8H174TJH
171,9000000170,764,4,2,PICKUP,20240329,08:07:40,20240330,08:07:40,
172,9000000171,1490,3553,1,Correo Argentino,20250228,13:25:36,20250303,13:25:36,TRK-GZTE0MZNMX
173,9000000172,181,2801,1,Correo Argentino,20240508,09:39:45,20240512,09:39:45,TRK-DGOJGP2GBU
174,9000000173,693,2631,1,Correo Argentino,20250617,15:40:09,20250622,15:40:09,TRK-VBAXIAQJKB
175,9000000174,672,2,2,PICKUP,20240907,01:13:23,20240908,01:13:23,
176,9000000175,786,3157,1,Correo Argentino,20240601,19:23:40,20240604,19:23:40,TRK-WD62JC0VLK
177,9000000176,1347,2,2,PICKUP,20250225,07:13:53,20250226,07:13:53,
178,9000000177,628,1864,1,Correo Argentino,20241124,21:44:13,20241127,21:44:13,TRK-TSU2MSGQGV
179,9000000178,1485,2,2,PICKUP,20250503,06:20:13,20250504,06:20:13,
180,9000000179,805,3731,1,Correo Argentino,20250813,08:58:40,20250816,08:58:40,TRK-DOH59G5HG5
181,9000000180,445,1749,1,Correo Argentino,20240522,07:44:42,20240524,07:44:42,TRK-WTK41NS6CW
182,9000000181,560,1079,1,Correo Argentino,20241113,19:15:20,20241115,19:15:20,TRK-2HK5GYIMQ5
183,9000000182,403,3603,1,Correo Argentino,20240909,21:03:06,20240916,21:03:06,TRK-3VO06V5F4C
184,9000000183,693,1,2,PICKUP,20241026,15:02:26,20241027,15:02:26,
185,9000000184,274,2,2,PICKUP,20250511,05:25:54,20250512,05:25:54,
186,9000000185,804,1940,1,Correo Argentino,20240719,22:03:50,20240724,22:03:50,TRK-XVT3OPQZDN
187,9000000186,1495,2360,1,Correo Argentino,20240731,17:31:33,20240802,17:31:33,TRK-6LCGCSEFEL
188,9000000187,48,1,2,PICKUP,20250212,20:45:02,20250213,20:45:02,
189,9000000188,661,3,2,PICKUP,20250823,17:59:12,20250824,17:59:12,
190,9000000189,984,2808,1,Correo Argentino,20240503,13:34:34,20240505,13:34:34,TRK-MZ7KO0QL4T
191,9000000190,1384,2968,1,Correo Argentino,20240606,16:15:54,20240611,16:15:54,TRK-X696GHSKZW
192,9000000191,788,1202,1,Correo Argentino,,,,,
193,9000000192,456,2,2,PICKUP,20240308,16:48:50,20240309,16:48:50,
194,9000000193,427,1691,1,Correo Argentino,20240216,04:24:55,20240219,04:24:55,TRK-N0C9SM2QFJ
195,9000000194,866,3570,1,Correo Argentino,20250914,14:18:48,20250919,14:18:48,TRK-7MYF01NWQ1
196,9000000195,371,1596,1,Correo Argentino,20250301,05:52:06,20250305,05:52:06,TRK-5950NTLRAC
197,9000000196,1000,2380,1,Correo Argentino,20250815,22:25:58,20250817,22:25:58,TRK-3RJ4BIOHK0
198,9000000197,1404,1791,1,Correo Argentino,20240410,00:49:19,20240412,00:49:19,TRK-M0DL4YCPUU
199,9000000198,1159,1784,1,Correo Argentino,20240204,12:21:07,20240207,12:21:07,TRK-XPU46U15UT
200,9000000199,1040,3793,1,Correo Argentino,20250320,13:29:11,20250325,13:29:11,TRK-O91D35I9X4
201,9000000200,464,3533,1,Correo Argentino,20240926,16:00:56,20240929,16:00:56,TRK-LSZKZN0LYI
202,9000000201,166,3937,1,Correo Argentino,20241117,21:49:12,20241120,21:49:12,TRK-WPOOZWRSXF
203,9000000202,1056,3,2,PICKUP,20250327,16:10:42,20250328,16:10:42,
204,9000000203,925,3,2,PICKUP,20241117,23:47:20,20241118,23:47:20,
205,9000000204,488,1253,1,Correo Argentino,,,,,
206,9000000205,903,1894,1,Correo Argentino,20241001,10:39:53,20241005,10:39:53,TRK-Q495C57TPW
207,9000000206,70,2088,1,Correo Argentino,20250727,06:57:55,20250731,06:57:55,TRK-YOZRB7EYB4
208,9000000207,1459,2326,1,Correo Argentino,20250508,08:30:13,20250510,08:30:13,TRK-MXL244VRBJ
209,9000000208,500,2,2,PICKUP,20250411,20:08:06,20250412,20:08:06,
210,9000000209,361,2293,1,Correo Argentino,20250404,02:36:42,20250406,02:36:42,TRK-QS7JP1ILRI
211,9000000210,476,3586,1,Correo Argentino,20250321,15:20:10,20250323,15:20:10,TRK-HMK0UFUCGU
212,9000000211,1400,1,2,PICKUP,20250719,23:54:49,20250720,23:54:49,
213,9000000212,945,1882,1,Correo Argentino,20250219,13:52:44,20250223,13:52:44,TRK-EI5CQOM3OQ
214,9000000213,1443,1896,1,Correo Argentino,20240417,02:19:09,20240420,02:19:09,TRK-JVXGL1QGOU
215,9000000214,1430,3683,1,Correo Argentino,20240720,23:42:13,20240722,23:42:13,TRK-3LP62TMLP0
216,9000000215,1330,2575,1,Correo Argentino,20240130,19:10:09,20240203,19:10:09,TRK-W5E1QML5MQ
217,9000000216,274,1502,1,Correo Argentino,20250511,12:35:04,20250516,12:35:04,TRK-AYM9Q11ZOD
218,9000000217,1251,2,2,PICKUP,20240405,10:08:16,20240406,10:08:16,
219,9000000218,176,1546,1,Correo Argentino,20240705,15:57:47,20240709,15:57:47,TRK-CP4OTN8HPB
220,9000000219,42,2,2,PICKUP,20240612,19:28:12,20240613,19:28:12,
221,9000000220,582,2929,1,Correo Argentino,20250922,02:23:58,20250926,02:23:58,TRK-C1TLW78F6M
222,9000000221,4,1,2,PICKUP,20250507,07:54:39,20250508,07:54:39,
223,9000000222,569,2,2,PICKUP,20240830,13:00:53,20240831,13:00:53,
224,9000000223,157,1,2,PICKUP,20241224,00:04:43,20241225,00:04:43,
225,9000000224,649,1307,1,Correo Argentino,20250323,13:07:04,20250325,13:07:04,TRK-E3PPMBLC09
226,9000000225,1230,2399,1,Correo Argentino,20250806,09:56:58,20250810,09:56:58,TRK-JVVF010AIA
227,9000000226,197,3863,1,Correo Argentino,20240717,19:12:34,20240722,19:12:34,TRK-JJUIDCE74A
228,9000000227,731,3590,1,Correo Argentino,20240718,23:54:57,20240720,23:54:57,TRK-GSHXM42YVK
229,9000000228,506,3643,1,Correo Argentino,20250328,04:05:29,20250401,04:05:29,TRK-INJV5S1HHW
230,9000000229,751,2,2,PICKUP,,,,,
231,9000000230,485,2337,1,Correo Argentino,20241230,11:56:27,20250104,11:56:27,TRK-9MRQVD7X1J
232,9000000231,823,1053,1,Correo Argentino,20240609,16:32:56,20240611,16:32:56,TRK-YP7VNSGOLC
233,9000000232,680,2493,1,Correo Argentino,20250222,21:34:52,20250226,21:34:52,TRK-DZYUMNQIZK
234,9000000233,417,3089,1,Correo Argentino,20241120,08:54:06,20241122,08:54:06,TRK-BP8B1VFO0G
235,9000000234,677,3201,1,Correo Argentino,20250529,23:24:47,20250603,23:24:47,TRK-4Z78IY664L
236,9000000235,1327,2,2,PICKUP,,,,,
237,9000000236,593,1,2,PICKUP,20250104,07:17:21,20250105,07:17:21,
238,9000000237,606,1,2,PICKUP,20241114,19:03:35,20241115,19:03:35,
239,9000000238,137,2,2,PICKUP,20250322,06:27:32,20250323,06:27:32,
240,9000000239,487,2633,1,Correo Argentino,20240221,05:28:37,20240226,05:28:37,TRK-6QXN6I8BLI
241,9000000240,909,3062,1,Correo Argentino,20241021,17:29:14,20241026,17:29:14,TRK-X7LOFOLANG
242,9000000241,179,1,2,PICKUP,20241011,10:32:46,20241012,10:32:46,
243,9000000242,183,3013,1,Correo Argentino,,,,,
244,9000000243,536,1823,1,Correo Argentino,20250609,09:40:04,20250613,09:40:04,TRK-36SR7I0SAS
245,9000000244,1341,1,2,PICKUP,20240913,02:03:43,20240914,02:03:43,
246,9000000245,378,1,2,PICKUP,20250508,00:51:09,20250509,00:51:09,
247,9000000246,548,1533,1,Correo Argentino,,,,,
248,9000000247,757,4127,1,Correo Argentino,20241203,02:46:27,20241208,02:46:27,TRK-F075G514A9
249,9000000248,522,4,2,PICKUP,20241026,11:08:17,20241027,11:08:17,
250,9000000249,1384,3,2,PICKUP,20240419,07:55:19,20240420,07:55:19,
251,9000000250,473,1839,1,Correo Argentino,20240922,10:33:48,20240926,10:33:48,TRK-PUN6EN1KQ1
252,9000000251,1316,3,2,PICKUP,20240315,03:55:16,20240316,03:55:16,
253,9000000252,1356,1,2,PICKUP,20240302,17:29:06,20240303,17:29:06,
254,9000000253,266,2460,1,Correo Argentino,20250424,10:25:30,20250429,10:25:30,TRK-TSK3A0YQ6W
255,9000000254,1359,2,2,PICKUP,20241013,05:27:13,20241014,05:27:13,
256,9000000255,843,3929,1,Correo Argentino,20240814,02:28:16,20240818,02:28:16,TRK-8BWQRUEYS2
257,9000000256,599,1101,1,Correo Argentino,20241002,05:52:27,20241006,05:52:27,TRK-RVD511UODZ
258,9000000257,1048,1,2,PICKUP,20250530,14:07:49,20250531,14:07:49,
259,9000000258,319,4044,1,Correo Argentino,20241227,23:32:30,20241229,23:32:30,TRK-KXPDA6C6W5
260,9000000259,846,1971,1,Correo Argentino,20250905,10:28:53,20250908,10:28:53,TRK-20HMH74UZ5
261,9000000260,1491,3535,1,Correo Argentino,20241213,00:31:19,20241216,00:31:19,TRK-XYI1O46MZJ
262,9000000261,79,2362,1,Correo Argentino,20250815,21:42:26,20250817,21:42:26,TRK-D0N515YRWY
263,9000000262,748,4051,1,Correo Argentino,20241119,19:38:35,20241124,19:38:35,TRK-97AXUHZD9O
264,9000000263,537,4142,1,Correo Argentino,20250101,19:25:31,20250104,19:25:31,TRK-FYNETUY56H
265,9000000264,303,2,2,PICKUP,20250819,08:26:01,20250820,08:26:01,
266,9000000265,1065,2753,1,Correo Argentino,20240428,04:48:14,20240503,04:48:14,TRK-2JRCHT1TPG
267,9000000266,606,2854,1,Correo Argentino,20250508,10:36:52,20250510,10:36:52,TRK-VA6AR1AR6U
268,9000000267,553,2628,1,Correo Argentino,20240301,01:23:56,20240305,01:23:56,TRK-QI2WJJ807C
269,9000000268,656,1357,1,Correo Argentino,,,,,
270,9000000269,786,2398,1,Correo Argentino,,,,,
271,9000000270,663,1,2,PICKUP,20240216,09:33:22,20240217,09:33:22,
272,9000000271,833,2293,1,Correo Argentino,20240213,23:19:32,20240218,23:19:32,TRK-9Q7IVQHXSI
273,9000000272,844,2057,1,Correo Argentino,20241026,21:34:38,20241031,21:34:38,TRK-WZYFMQFKIL
274,9000000273,720,1349,1,Correo Argentino,20240302,21:39:25,20240304,21:39:25,TRK-N0MWFS58BQ
275,9000000274,169,1,2,PICKUP,20240928,05:34:23,20240929,05:34:23,
276,9000000275,969,2854,1,Correo Argentino,20240622,23:19:57,20240626,23:19:57,TRK-UQI62K3L0W
277,9000000276,268,4,2,PICKUP,20250526,19:31:40,20250527,19:31:40,
278,9000000277,122,1,2,PICKUP,20241014,06:28:37,20241015,06:28:37,
279,9000000278,617,3837,1,Correo Argentino,20250305,17:56:56,20250310,17:56:56,TRK-KFFN16DB0I
280,9000000279,608,3264,1,Correo Argentino,,,,,
281,9000000280,732,1,2,PICKUP,20240720,19:57:11,20240721,19:57:11,
282,9000000281,211,3118,1,Correo Argentino,20250312,16:52:34,20250316,16:52:34,TRK-72W7RNTWXW
283,9000000282,475,2563,1,Correo Argentino,20241229,03:28:46,20250101,03:28:46,TRK-V20K9JX42E
284,9000000283,949,3708,1,Correo Argentino,20250722,05:39:50,20250726,05:39:50,TRK-AGYGGFMNUF
285,9000000284,426,2,2,PICKUP,20240309,13:44:42,20240310,13:44:42,
286,9000000285,386,2439,1,Correo Argentino,,,,,
