sales_order_sk,id,customer_id,channel_id,store_id,order_date_id,order_time,order_date,billing_address_id,shipping_address_id,status_order,currency_code,subtotal,tax_amount,shipping_fee,total_amount
71,1000000070,425,1,,20250725,23:51:05,2025-07-25,2747,1428,PAID,ARS,12000.0,2520.0,900.0,15420.0
72,1000000071,1271,2,3.0,20240722,18:00:06,2024-07-22,1522,3,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
73,1000000072,1129,1,,20240202,08:20:17,2024-02-02,2125,3536,PAID,ARS,12825.0,2693.25,1500.0,17018.25
74,1000000073,1224,1,,20241207,21:18:19,2024-12-07,485,2119,PAID,ARS,15435.0,3241.35,900.0,19576.35
75,1000000074,446,1,,20241214,04:41:02,2024-12-14,3072,3064,FULFILLED,ARS,56340.0,11831.4,900.0,69071.4
76,1000000075,867,1,,20250322,18:16:20,2025-03-22,1944,3681,FULFILLED,ARS,29400.0,6174.0,900.0,36474.0
77,1000000076,127,1,,20240301,10:21:11,2024-03-01,423,4185,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
78,1000000077,874,2,1.0,20241204,22:39:17,2024-12-04,208,1,PAID,ARS,23520.0,4939.2,0.0,28459.2
79,1000000078,814,1,,20250109,21:43:22,2025-01-09,374,3363,FULFILLED,ARS,40650.0,8536.5,0.0,49186.5
80,1000000079,1189,1,,20250916,02:56:19,2025-09-16,2306,1836,PAID,ARS,32400.0,6804.0,1200.0,40404.0
81,1000000080,584,1,,20241111,06:28:22,2024-11-11,2170,1065,FULFILLED,ARS,14700.0,3087.0,900.0,18687.0
82,1000000081,1433,1,,20250202,01:45:35,2025-02-02,2160,1949,FULFILLED,ARS,52800.0,11088.0,900.0,64788.0
83,1000000082,670,1,,20250921,10:27:35,2025-09-21,2091,4099,FULFILLED,ARS,34200.0,7182.0,1200.0,42582.0
84,1000000083,464,1,,20240210,17:47:09,2024-02-10,2869,1838,REFUNDED,ARS,38100.0,8001.0,1200.0,47301.0
85,1000000084,535,1,,20241125,14:26:24,2024-11-25,,1149,PAID,ARS,15000.0,3150.0,900.0,19050.0
86,1000000085,655,1,,20250301,02:58:24,2025-03-01,2539,3181,FULFILLED,ARS,12348.0,2593.08,1500.0,16441.08
87,1000000086,833,1,,20250818,10:52:28,2025-08-18,855,3247,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
88,1000000087,490,1,,20241213,04:53:42,2024-12-13,1319,2445,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
89,1000000088,360,1,,20240203,13:58:21,2024-02-03,104,2456,FULFILLED,ARS,56400.0,11844.0,900.0,69144.0
90,1000000089,1227,1,,20250618,12:09:30,2025-06-18,2146,2172,FULFILLED,ARS,14250.0,2992.5,1200.0,18442.5
91,1000000090,624,1,,20240127,19:31:23,2024-01-27,2890,1034,FULFILLED,ARS,36825.0,7733.25,900.0,45458.25
92,1000000091,228,1,,20240217,18:12:47,2024-02-17,1743,3298,FULFILLED,ARS,91192.5,19150.42,0.0,110342.92
93,1000000092,770,1,,20240613,13:46:23,2024-06-13,530,1772,FULFILLED,ARS,30000.0,6300.0,900.0,37200.0
94,1000000093,54,2,2.0,20241114,23:26:31,2024-11-14,2329,2,FULFILLED,ARS,84675.0,17781.75,0.0,102456.75
95,1000000094,1006,2,4.0,20241227,03:05:36,2024-12-27,2237,4,PAID,ARS,74700.0,15687.0,0.0,90387.0
96,1000000095,247,1,,20250925,18:29:43,2025-09-25,1236,2291,FULFILLED,ARS,48510.0,10187.1,1200.0,59897.1
97,1000000096,1127,2,3.0,20250523,10:43:41,2025-05-23,1319,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
98,1000000097,757,2,2.0,20240612,17:56:54,2024-06-12,2453,2,FULFILLED,ARS,15435.0,3241.35,0.0,18676.35
99,1000000098,520,1,,20250116,08:09:07,2025-01-16,3135,3443,FULFILLED,ARS,35910.0,7541.1,900.0,44351.1
100,1000000099,258,1,,20240227,14:31:08,2024-02-27,1515,1224,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
101,1000000100,467,1,,20240730,11:35:40,2024-07-30,1636,2885,CANCELLED,ARS,23148.0,4861.08,900.0,28909.08
102,1000000101,3,1,,20240330,02:45:40,2024-03-30,2640,1219,PAID,ARS,36000.0,7560.0,900.0,44460.0
103,1000000102,334,1,,20241119,07:00:43,2024-11-19,2620,3863,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
104,1000000103,802,2,3.0,20240325,03:53:52,2024-03-25,553,3,CREATED,ARS,30780.0,6463.8,0.0,37243.8
105,1000000104,999,1,,20240323,20:55:17,2024-03-23,255,4048,REFUNDED,ARS,30000.0,6300.0,1200.0,37500.0
106,1000000105,176,1,,20240512,04:27:32,2024-05-12,462,3440,FULFILLED,ARS,21600.0,4536.0,1200.0,27336.0
107,1000000106,801,1,,20250208,08:09:53,2025-02-08,607,3956,FULFILLED,ARS,15000.0,3150.0,900.0,19050.0
108,1000000107,1113,1,,20240522,03:56:26,2024-05-22,751,2943,FULFILLED,ARS,34020.0,7144.2,900.0,42064.2
109,1000000108,810,2,4.0,20250704,04:11:46,2025-07-04,,4,FULFILLED,ARS,46305.0,9724.05,0.0,56029.05
110,1000000109,581,2,4.0,20240422,08:18:05,2024-04-22,704,4,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
111,1000000110,1284,2,2.0,20250604,21:13:13,2025-06-04,3026,2,CANCELLED,ARS,68070.0,14294.7,0.0,82364.7
112,1000000111,1333,1,,20241220,15:47:41,2024-12-20,2902,2876,FULFILLED,ARS,15435.0,3241.35,1200.0,19876.35
113,1000000112,24,2,2.0,20250228,17:43:31,2025-02-28,806,2,PAID,ARS,76770.0,16121.7,0.0,92891.7
114,1000000113,1222,2,1.0,20240121,02:59:29,2024-01-21,1895,1,CANCELLED,ARS,12936.0,2716.56,0.0,15652.56
115,1000000114,63,2,1.0,20240917,08:06:28,2024-09-17,2180,1,PAID,ARS,9720.0,2041.2,0.0,11761.2
116,1000000115,1078,1,,20240219,00:47:44,2024-02-19,2864,3,REFUNDED,ARS,21600.0,4536.0,1500.0,27636.0
117,1000000116,1091,1,,20240701,10:24:47,2024-07-01,2787,3609,FULFILLED,ARS,39600.0,8316.0,1200.0,49116.0
118,1000000117,524,1,,20250119,22:11:52,2025-01-19,3173,2254,FULFILLED,ARS,24000.0,5040.0,1200.0,30240.0
119,1000000118,1229,1,,20250816,15:04:32,2025-08-16,1458,3390,FULFILLED,ARS,38808.0,8149.68,900.0,47857.68
120,1000000119,458,2,4.0,20250716,11:54:38,2025-07-16,2845,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
121,1000000120,68,1,,20240418,21:41:14,2024-04-18,1466,2653,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
122,1000000121,959,2,4.0,20241220,05:03:44,2024-12-20,2706,4,FULFILLED,ARS,37620.0,7900.2,0.0,45520.2
123,1000000122,356,2,1.0,20250830,14:57:49,2025-08-30,3167,1,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
124,1000000123,530,1,,20250624,08:51:53,2025-06-24,1284,1001,CANCELLED,ARS,14700.0,3087.0,1200.0,18987.0
125,1000000124,1420,1,,20240206,12:15:32,2024-02-06,1268,4004,FULFILLED,ARS,54684.0,11483.64,1200.0,67367.64
126,1000000125,279,2,3.0,20240709,08:16:06,2024-07-09,954,3,FULFILLED,ARS,51300.0,10773.0,0.0,62073.0
127,1000000126,779,2,3.0,20240612,02:24:10,2024-06-12,206,3,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
128,1000000127,1383,1,,20240228,13:19:21,2024-02-28,3141,3113,FULFILLED,ARS,56850.0,11938.5,1200.0,69988.5
129,1000000128,1189,1,,20250420,09:16:05,2025-04-20,885,2352,CANCELLED,ARS,82620.0,17350.2,1500.0,101470.2
130,1000000129,1016,1,,20250917,22:24:46,2025-09-17,1995,4036,FULFILLED,ARS,62280.0,13078.8,1500.0,76858.8
131,1000000130,595,2,3.0,20250521,02:27:57,2025-05-21,164,3,PAID,ARS,12150.0,2551.5,0.0,14701.5
132,1000000131,902,2,4.0,20240125,03:24:41,2024-01-25,2020,4,FULFILLED,ARS,39600.0,8316.0,0.0,47916.0
133,1000000132,317,1,,20240726,17:23:51,2024-07-26,2601,3542,FULFILLED,ARS,26460.0,5556.6,1200.0,33216.6
134,1000000133,1229,2,2.0,20240614,15:46:34,2024-06-14,,2,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
135,1000000134,279,2,3.0,20240106,02:05:46,2024-01-06,63,3,FULFILLED,ARS,62280.0,13078.8,0.0,75358.8
136,1000000135,1498,2,4.0,20240530,07:35:31,2024-05-30,2609,4,PAID,ARS,33000.0,6930.0,0.0,39930.0
137,1000000136,140,1,,20250120,19:30:04,2025-01-20,2026,2769,FULFILLED,ARS,28500.0,5985.0,0.0,34485.0
138,1000000137,1115,1,,20241115,23:46:06,2024-11-15,462,3541,PAID,ARS,11760.0,2469.6,0.0,14229.6
139,1000000138,1240,1,,20240103,08:23:39,2024-01-03,1477,2700,PAID,ARS,34200.0,7182.0,1500.0,42882.0
140,1000000139,590,1,,20240406,23:11:09,2024-04-06,1328,2032,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
141,1000000140,645,2,3.0,20250217,21:56:48,2025-02-17,1878,3,FULFILLED,ARS,13230.0,2778.3,0.0,16008.3
142,1000000141,545,2,1.0,20241130,21:24:24,2024-11-30,2477,1,REFUNDED,ARS,11880.0,2494.8,0.0,14374.8
143,1000000142,1208,1,,20250625,13:32:09,2025-06-25,3064,2951,REFUNDED,ARS,50706.0,10648.26,1500.0,62854.26
144,1000000143,551,2,1.0,20240606,00:59:40,2024-06-06,1113,1,FULFILLED,ARS,66600.0,13986.0,0.0,80586.0
145,1000000144,569,2,1.0,20240209,12:30:14,2024-02-09,214,1,CANCELLED,ARS,29700.0,6237.0,0.0,35937.0
146,1000000145,1305,1,,20250719,14:47:44,2025-07-19,,4174,FULFILLED,ARS,30000.0,6300.0,1500.0,37800.0
147,1000000146,280,1,,20240505,01:52:36,2024-05-05,194,3727,FULFILLED,ARS,82687.5,17364.38,900.0,100951.88
148,1000000147,1338,1,,20241207,21:23:08,2024-12-07,,2468,FULFILLED,ARS,59340.0,12461.4,900.0,72701.4
149,1000000148,84,1,,20250621,18:11:01,2025-06-21,592,3443,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
150,1000000149,655,1,,20250121,22:14:19,2025-01-21,81,2113,FULFILLED,ARS,13500.0,2835.0,900.0,17235.0
151,1000000150,513,2,4.0,20250530,23:20:50,2025-05-30,3049,4,FULFILLED,ARS,32340.0,6791.4,0.0,39131.4
152,1000000151,884,2,3.0,20240416,17:06:04,2024-04-16,849,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
153,1000000152,385,2,2.0,20240108,00:18:03,2024-01-08,1553,2,FULFILLED,ARS,9720.0,2041.2,0.0,11761.2
154,1000000153,723,2,2.0,20250610,16:56:57,2025-06-10,752,2,CANCELLED,ARS,10800.0,2268.0,0.0,13068.0
155,1000000154,110,2,1.0,20240701,13:02:42,2024-07-01,2113,1,PAID,ARS,42525.0,8930.25,0.0,51455.25
156,1000000155,1197,1,,20240212,00:38:46,2024-02-12,2708,4121,FULFILLED,ARS,12000.0,2520.0,900.0,15420.0
157,1000000156,833,2,2.0,20241029,15:18:07,2024-10-29,1194,2,FULFILLED,ARS,42750.0,8977.5,0.0,51727.5
158,1000000157,371,2,3.0,20250126,15:50:11,2025-01-26,1185,3,CANCELLED,ARS,59250.0,12442.5,0.0,71692.5
159,1000000158,905,2,1.0,20240424,23:37:56,2024-04-24,1807,1,FULFILLED,ARS,30000.0,6300.0,0.0,36300.0
160,1000000159,389,1,,20240714,06:58:24,2024-07-14,3180,1303,FULFILLED,ARS,12348.0,2593.08,1200.0,16141.08
161,1000000160,1299,2,4.0,20240613,10:29:35,2024-06-13,,4,FULFILLED,ARS,29400.0,6174.0,0.0,35574.0
162,1000000161,725,1,,20241021,00:31:01,2024-10-21,,3908,FULFILLED,ARS,45000.0,9450.0,900.0,55350.0
163,1000000162,645,2,4.0,20250731,20:20:03,2025-07-31,161,4,PAID,ARS,22800.0,4788.0,0.0,27588.0
164,1000000163,584,1,,20240224,10:30:38,2024-02-24,984,1132,FULFILLED,ARS,21600.0,4536.0,900.0,27036.0
165,1000000164,436,1,,20250222,06:18:41,2025-02-22,3083,3758,FULFILLED,ARS,63000.0,13230.0,900.0,77130.0
166,1000000165,293,1,,20250827,08:06:56,2025-08-27,2895,3357,FULFILLED,ARS,23520.0,4939.2,1500.0,29959.2
167,1000000166,1065,1,,20250727,20:39:32,2025-07-27,,3492,FULFILLED,ARS,43425.0,9119.25,1200.0,53744.25
168,1000000167,1234,1,,20250118,13:44:54,2025-01-18,1645,3702,CANCELLED,ARS,47085.0,9887.85,1200.0,58172.85
169,1000000168,400,1,,20240226,20:28:31,2024-02-26,2133,3523,CANCELLED,ARS,40500.0,8505.0,1200.0,50205.0
170,1000000169,251,1,,20240708,20:03:47,2024-07-08,,2325,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
171,1000000170,764,2,4.0,20240329,08:07:40,2024-03-29,,4,PAID,ARS,30000.0,6300.0,0.0,36300.0
172,1000000171,1490,1,,20250227,13:25:36,2025-02-27,2733,3553,CREATED,ARS,11760.0,2469.6,1200.0,15429.6
173,1000000172,181,1,,20240507,09:39:45,2024-05-07,607,2801,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
174,1000000173,693,1,,20250616,15:40:09,2025-06-16,1849,2631,FULFILLED,ARS,31500.0,6615.0,1200.0,39315.0
175,1000000174,672,2,2.0,20240907,01:13:23,2024-09-07,2475,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
176,1000000175,786,1,,20240531,19:23:40,2024-05-31,1699,3157,PAID,ARS,12000.0,2520.0,900.0,15420.0
177,1000000176,1347,2,2.0,20250225,07:13:53,2025-02-25,1260,2,FULFILLED,ARS,14850.0,3118.5,0.0,17968.5
178,1000000177,628,1,,20241123,21:44:13,2024-11-23,,1864,FULFILLED,ARS,12825.0,2693.25,1200.0,16718.25
179,1000000178,1485,2,2.0,20250503,06:20:13,2025-05-03,3036,2,PAID,ARS,13500.0,2835.0,0.0,16335.0
180,1000000179,805,1,,20250812,08:58:40,2025-08-12,1866,3731,FULFILLED,ARS,72600.0,15246.0,900.0,88746.0
181,1000000180,445,1,,20240521,07:44:42,2024-05-21,2685,1749,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
182,1000000181,560,1,,20241112,19:15:20,2024-11-12,2249,1079,FULFILLED,ARS,23520.0,4939.2,900.0,29359.2
183,1000000182,403,1,,20240908,21:03:06,2024-09-08,1525,3603,FULFILLED,ARS,25080.0,5266.8,1200.0,31546.8
184,1000000183,693,2,1.0,20241026,15:02:26,2024-10-26,1838,1,PAID,ARS,27000.0,5670.0,0.0,32670.0
185,1000000184,274,2,2.0,20250511,05:25:54,2025-05-11,2613,2,PAID,ARS,13500.0,2835.0,0.0,16335.0
186,1000000185,804,1,,20240718,22:03:50,2024-07-18,600,1940,FULFILLED,ARS,59844.0,12567.24,1200.0,73611.24
187,1000000186,1495,1,,20240730,17:31:33,2024-07-30,2585,2360,FULFILLED,ARS,11400.0,2394.0,900.0,14694.0
188,1000000187,48,2,1.0,20250212,20:45:02,2025-02-12,2002,1,REFUNDED,ARS,32400.0,6804.0,0.0,39204.0
189,1000000188,661,2,3.0,20250823,17:59:12,2025-08-23,2869,3,FULFILLED,ARS,27000.0,5670.0,0.0,32670.0
190,1000000189,984,1,,20240502,13:34:34,2024-05-02,3020,2808,PAID,ARS,37044.0,7779.24,900.0,45723.24
191,1000000190,1384,1,,20240605,16:15:54,2024-06-05,1811,2968,PAID,ARS,11760.0,2469.6,0.0,14229.6
192,1000000191,788,1,,20250916,20:00:12,2025-09-16,1179,1202,CANCELLED,ARS,88344.0,18552.24,0.0,106896.24
193,1000000192,456,2,2.0,20240308,16:48:50,2024-03-08,1133,2,PAID,ARS,12000.0,2520.0,0.0,14520.0
194,1000000193,427,1,,20240215,04:24:55,2024-02-15,,1691,FULFILLED,ARS,32400.0,6804.0,1200.0,40404.0
195,1000000194,866,1,,20250913,14:18:48,2025-09-13,913,3570,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
196,1000000195,371,1,,20250228,05:52:06,2025-02-28,352,1596,FULFILLED,ARS,45840.0,9626.4,1200.0,56666.4
197,1000000196,1000,1,,20250814,22:25:58,2025-08-14,1481,2380,FULFILLED,ARS,30000.0,6300.0,1200.0,37500.0
198,1000000197,1404,1,,20240409,00:49:19,2024-04-09,2536,1791,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
199,1000000198,1159,1,,20240203,12:21:07,2024-02-03,,1784,FULFILLED,ARS,29160.0,6123.6,900.0,36183.6
200,1000000199,1040,1,,20250319,13:29:11,2025-03-19,,3793,FULFILLED,ARS,48000.0,10080.0,1200.0,59280.0
201,1000000200,464,1,,20240925,16:00:56,2024-09-25,2887,3533,FULFILLED,ARS,21600.0,4536.0,900.0,27036.0
202,1000000201,166,1,,20241116,21:49:12,2024-11-16,1631,3937,REFUNDED,ARS,40950.0,8599.5,1200.0,50749.5
203,1000000202,1056,2,3.0,20250327,16:10:42,2025-03-27,1262,3,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
204,1000000203,925,2,3.0,20241117,23:47:20,2024-11-17,2299,3,FULFILLED,ARS,32400.0,6804.0,0.0,39204.0
205,1000000204,488,1,,20250127,12:03:58,2025-01-27,678,1253,CANCELLED,ARS,40500.0,8505.0,1200.0,50205.0
206,1000000205,903,1,,20240930,10:39:53,2024-09-30,459,1894,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
207,1000000206,70,1,,20250726,06:57:55,2025-07-26,1448,2088,PAID,ARS,23520.0,4939.2,1200.0,29659.2
208,1000000207,1459,1,,20250507,08:30:13,2025-05-07,,2326,FULFILLED,ARS,12348.0,2593.08,900.0,15841.08
209,1000000208,500,2,2.0,20250411,20:08:06,2025-04-11,1838,2,FULFILLED,ARS,44550.0,9355.5,0.0,53905.5
210,1000000209,361,1,,20250403,02:36:42,2025-04-03,370,2293,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
211,1000000210,476,1,,20250320,15:20:10,2025-03-20,683,3586,FULFILLED,ARS,13500.0,2835.0,1500.0,17835.0
