calendar_sk,date,date_id,year,month,day,day_of_week,quarter,year_month
142,2024-05-21,20240521,2024,5,21,2,Q2,2024-05
143,2024-05-22,20240522,2024,5,22,3,Q2,2024-05
144,2024-05-23,20240523,2024,5,23,4,Q2,2024-05
145,2024-05-24,20240524,2024,5,24,5,Q2,2024-05
146,2024-05-25,20240525,2024,5,25,6,Q2,2024-05
147,2024-05-26,20240526,2024,5,26,7,Q2,2024-05
148,2024-05-27,20240527,2024,5,27,1,Q2,2024-05
149,2024-05-28,20240528,2024,5,28,2,Q2,2024-05
150,2024-05-29,20240529,2024,5,29,3,Q2,2024-05
151,2024-05-30,20240530,2024,5,30,4,Q2,2024-05
152,2024-05-31,20240531,2024,5,31,5,Q2,2024-05
153,2024-06-01,20240601,2024,6,1,6,Q2,2024-06
154,2024-06-02,20240602,2024,6,2,7,Q2,2024-06
155,2024-06-03,20240603,2024,6,3,1,Q2,2024-06
156,2024-06-04,20240604,2024,6,4,2,Q2,2024-06
157,2024-06-05,20240605,2024,6,5,3,Q2,2024-06
158,2024-06-06,20240606,2024,6,6,4,Q2,2024-06
159,2024-06-07,20240607,2024,6,7,5,Q2,2024-06
160,2024-06-08,20240608,2024,6,8,6,Q2,2024-06
161,2024-06-09,20240609,2024,6,9,7,Q2,2024-06
162,2024-06-10,20240610,2024,6,10,1,Q2,2024-06
163,2024-06-11,20240611,2024,6,11,2,Q2,2024-06
164,2024-06-12,20240612,2024,6,12,3,Q2,2024-06
165,2024-06-13,20240613,2024,6,13,4,Q2,2024-06
166,2024-06-14,20240614,2024,6,14,5,Q2,2024-06
167,2024-06-15,20240615,2024,6,15,6,Q2,2024-06
168,2024-06-16,20240616,2024,6,16,7,Q2,2024-06
169,2024-06-17,20240617,2024,6,17,1,Q2,2024-06
170,2024-06-18,20240618,2024,6,18,2,Q2,2024-06
171,2024-06-19,20240619,2024,6,19,3,Q2,2024-06
172,2024-06-20,20240620,2024,6,20,4,Q2,2024-06
173,2024-06-21,20240621,2024,6,21,5,Q2,2024-06
174,2024-06-22,20240622,2024,6,22,6,Q2,2024-06
175,2024-06-23,20240623,2024,6,23,7,Q2,2024-06
176,2024-06-24,20240624,2024,6,24,1,Q2,2024-06
177,2024-06-25,20240625,2024,6,25,2,Q2,2024-06
178,2024-06-26,20240626,2024,6,26,3,Q2,2024-06
179,2024-06-27,20240627,2024,6,27,4,Q2,2024-06
180,2024-06-28,20240628,2024,6,28,5,Q2,2024-06
181,2024-06-29,20240629,2024,6,29,6,Q2,2024-06
182,2024-06-30,20240630,2024,6,30,7,Q2,2024-06
183,2024-07-01,20240701,2024,7,1,1,Q3,2024-07
184,2024-07-02,20240702,2024,7,2,2,Q3,2024-07
185,2024-07-03,20240703,2024,7,3,3,Q3,2024-07
186,2024-07-04,20240704,2024,7,4,4,Q3,2024-07
187,2024-07-05,20240705,2024,7,5,5,Q3,2024-07
188,2024-07-06,20240706,2024,7,6,6,Q3,2024-07
189,2024-07-07,20240707,2024,7,7,7,Q3,2024-07
190,2024-07-08,20240708,2024,7,8,1,Q3,2024-07
191,2024-07-09,20240709,2024,7,9,2,Q3,2024-07
192,2024-07-10,20240710,2024,7,10,3,Q3,2024-07
193,2024-07-11,20240711,2024,7,11,4,Q3,2024-07
194,2024-07-12,20240712,2024,7,12,5,Q3,2024-07
195,2024-07-13,20240713,2024,7,13,6,Q3,2024-07
196,2024-07-14,20240714,2024,7,14,7,Q3,2024-07
197,2024-07-15,20240715,2024,7,15,1,Q3,2024-07
198,2024-07-16,20240716,2024,7,16,2,Q3,2024-07
199,2024-07-17,20240717,2024,7,17,3,Q3,2024-07
200,2024-07-18,20240718,2024,7,18,4,Q3,2024-07
201,2024-07-19,20240719,2024,7,19,5,Q3,2024-07
202,2024-07-20,20240720,2024,7,20,6,Q3,2024-07
203,2024-07-21,20240721,2024,7,21,7,Q3,2024-07
204,2024-07-22,20240722,2024,7,22,1,Q3,2024-07
205,2024-07-23,20240723,2024,7,23,2,Q3,2024-07
206,2024-07-24,20240724,2024,7,24,3,Q3,2024-07
207,2024-07-25,20240725,2024,7,25,4,Q3,2024-07
208,2024-07-26,20240726,2024,7,26,5,Q3,2024-07
209,2024-07-27,20240727,2024,7,27,6,Q3,2024-07
210,2024-07-28,20240728,2024,7,28,7,Q3,2024-07
211,2024-07-29,20240729,2024,7,29,1,Q3,2024-07
212,2024-07-30,20240730,2024,7,30,2,Q3,2024-07
213,2024-07-31,20240731,2024,7,31,3,Q3,2024-07
214,2024-08-01,20240801,2024,8,1,4,Q3,2024-08
215,2024-08-02,20240802,2024,8,2,5,Q3,2024-08
216,2024-08-03,20240803,2024,8,3,6,Q3,2024-08
217,2024-08-04,20240804,2024,8,4,7,Q3,2024-08
218,2024-08-05,20240805,2024,8,5,1,Q3,2024-08
219,2024-08-06,20240806,2024,8,6,2,Q3,2024-08
220,2024-08-07,20240807,2024,8,7,3,Q3,2024-08
221,2024-08-08,20240808,2024,8,8,4,Q3,2024-08
222,2024-08-09,20240809,2024,8,9,5,Q3,2024-08
223,2024-08-10,20240810,2024,8,10,6,Q3,2024-08
224,2024-08-11,20240811,2024,8,11,7,Q3,2024-08
225,2024-08-12,20240812,2024,8,12,1,Q3,2024-08
226,2024-08-13,20240813,2024,8,13,2,Q3,2024-08
227,2024-08-14,20240814,2024,8,14,3,Q3,2024-08
228,2024-08-15,20240815,2024,8,15,4,Q3,2024-08
229,2024-08-16,20240816,2024,8,16,5,Q3,2024-08
230,2024-08-17,20240817,2024,8,17,6,Q3,2024-08
231,2024-08-18,20240818,2024,8,18,7,Q3,2024-08
232,2024-08-19,20240819,2024,8,19,1,Q3,2024-08
233,2024-08-20,20240820,2024,8,20,2,Q3,2024-08
234,2024-08-21,20240821,2024,8,21,3,Q3,2024-08
235,2024-08-22,20240822,2024,8,22,4,Q3,2024-08
236,2024-08-23,20240823,2024,8,23,5,Q3,2024-08
237,2024-08-24,20240824,2024,8,24,6,Q3,2024-08
238,2024-08-25,20240825,2024,8,25,7,Q3,2024-08
239,2024-08-26,20240826,2024,8,26,1,Q3,2024-08
240,2024-08-27,20240827,2024,8,27,2,Q3,2024-08
241,2024-08-28,20240828,2024,8,28,3,Q3,2024-08
242,2024-08-29,20240829,2024,8,29,4,Q3,2024-08
243,2024-08-30,20240830,2024,8,30,5,Q3,2024-08
244,2024-08-31,20240831,2024,8,31,6,Q3,2024-08
245,2024-09-01,20240901,2024,9,1,7,Q3,2024-09
246,2024-09-02,20240902,2024,9,2,1,Q3,2024-09
247,2024-09-03,20240903,2024,9,3,2,Q3,2024-09
248,2024-09-04,20240904,2024,9,4,3,Q3,2024-09
249,2024-09-05,20240905,2024,9,5,4,Q3,2024-09
250,2024-09-06,20240906,2024,9,6,5,Q3,2024-09
251,2024-09-07,20240907,2024,9,7,6,Q3,2024-09
252,2024-09-08,20240908,2024,9,8,7,Q3,2024-09
253,2024-09-09,20240909,2024,9,9,1,Q3,2024-09
254,2024-09-10,20240910,2024,9,10,2,Q3,2024-09
255,2024-09-11,20240911,2024,9,11,3,Q3,2024-09
256,2024-09-12,20240912,2024,9,12,4,Q3,2024-09
257,2024-09-13,20240913,2024,9,13,5,Q3,2024-09
258,2024-09-14,20240914,2024,9,14,6,Q3,2024-09
259,2024-09-15,20240915,2024,9,15,7,Q3,2024-09
260,2024-09-16,20240916,2024,9,16,1,Q3,2024-09
261,2024-09-17,20240917,2024,9,17,2,Q3,2024-09
262,2024-09-18,20240918,2024,9,18,3,Q3,2024-09
263,2024-09-19,20240919,2024,9,19,4,Q3,2024-09
264,2024-09-20,20240920,2024,9,20,5,Q3,2024-09
265,2024-09-21,20240921,2024,9,21,6,Q3,2024-09
266,2024-09-22,20240922,2024,9,22,7,Q3,2024-09
267,2024-09-23,20240923,2024,9,23,1,Q3,2024-09
268,2024-09-24,20240924,2024,9,24,2,Q3,2024-09
269,2024-09-25,20240925,2024,9,25,3,Q3,2024-09
270,2024-09-26,20240926,2024,9,26,4,Q3,2024-09
271,2024-09-27,20240927,2024,9,27,5,Q3,2024-09
272,2024-09-28,20240928,2024,9,28,6,Q3,2024-09
273,2024-09-29,20240929,2024,9,29,7,Q3,2024-09
274,2024-09-30,20240930,2024,9,30,1,Q3,2024-09
275,2024-10-01,20241001,2024,10,1,2,Q4,2024-10
276,2024-10-02,20241002,2024,10,2,3,Q4,2024-10
277,2024-10-03,20241003,2024,10,3,4,Q4,2024-10
278,2024-10-04,20241004,2024,10,4,5,Q4,2024-10
279,2024-10-05,20241005,2024,10,5,6,Q4,2024-10
280,2024-10-06,20241006,2024,10,6,7,Q4,2024-10
281,2024-10-07,20241007,2024,10,7,1,Q4,2024-10
282,2024-10-08,20241008,2024,10,8,2,Q4,2024-10
283,2024-10-09,20241009,2024,10,9,3,Q4,2024-10
284,2024-10-10,20241010,2024,10,10,4,Q4,2024-10
285,2024-10-11,20241011,2024,10,11,5,Q4,2024-10
286,2024-10-12,20241012,2024,10,12,6,Q4,2024-10
287,2024-10-13,20241013,2024,10,13,7,Q4,2024-10
288,2024-10-14,20241014,2024,10,14,1,Q4,2024-10
289,2024-10-15,20241015,2024,10,15,2,Q4,2024-10
290,2024-10-16,20241016,2024,10,16,3,Q4,2024-10
291,2024-10-17,20241017,2024,10,17,4,Q4,2024-10
292,2024-10-18,20241018,2024,10,18,5,Q4,2024-10
293,2024-10-19,20241019,2024,10,19,6,Q4,2024-10
294,2024-10-20,20241020,2024,10,20,7,Q4,2024-10
295,2024-10-21,20241021,2024,10,21,1,Q4,2024-10
296,2024-10-22,20241022,2024,10,22,2,Q4,2024-10
297,2024-10-23,20241023,2024,10,23,3,Q4,2024-10
298,2024-10-24,20241024,2024,10,24,4,Q4,2024-10
299,2024-10-25,20241025,2024,10,25,5,Q4,2024-10
300,2024-10-26,20241026,2024,10,26,6,Q4,2024-10
301,2024-10-27,20241027,2024,10,27,7,Q4,2024-10
302,2024-10-28,20241028,2024,10,28,1,Q4,2024-10
303,2024-10-29,20241029,2024,10,29,2,Q4,2024-10
304,2024-10-30,20241030,2024,10,30,3,Q4,2024-10
305,2024-10-31,20241031,2024,10,31,4,Q4,2024-10
306,2024-11-01,20241101,2024,11,1,5,Q4,2024-11
307,2024-11-02,20241102,2024,11,2,6,Q4,2024-11
308,2024-11-03,20241103,2024,11,3,7,Q4,2024-11
309,2024-11-04,20241104,2024,11,4,1,Q4,2024-11
310,2024-11-05,20241105,2024,11,5,2,Q4,2024-11
311,2024-11-06,20241106,2024,11,6,3,Q4,2024-11
312,2024-11-07,20241107,2024,11,7,4,Q4,2024-11
313,2024-11-08,20241108,2024,11,8,5,Q4,2024-11
314,2024-11-09,20241109,2024,11,9,6,Q4,2024-11
315,2024-11-10,20241110,2024,11,10,7,Q4,2024-11
316,2024-11-11,20241111,2024,11,11,1,Q4,2024-11
317,2024-11-12,20241112,2024,11,12,2,Q4,2024-11
318,2024-11-13,20241113,2024,11,13,3,Q4,2024-11
319,2024-11-14,20241114,2024,11,14,4,Q4,2024-11
320,2024-11-15,20241115,2024,11,15,5,Q4,2024-11
321,2024-11-16,20241116,2024,11,16,6,Q4,2024-11
322,2024-11-17,20241117,2024,11,17,7,Q4,2024-11
323,2024-11-18,20241118,2024,11,18,1,Q4,2024-11
324,2024-11-19,20241119,2024,11,19,2,Q4,2024-11
325,2024-11-20,20241120,2024,11,20,3,Q4,2024-11
326,2024-11-21,20241121,2024,11,21,4,Q4,2024-11
327,2024-11-22,20241122,2024,11,22,5,Q4,2024-11
328,2024-11-23,20241123,2024,11,23,6,Q4,2024-11
329,2024-11-24,20241124,2024,11,24,7,Q4,2024-11
330,2024-11-25,20241125,2024,11,25,1,Q4,2024-11
331,2024-11-26,20241126,2024,11,26,2,Q4,2024-11
332,2024-11-27,20241127,2024,11,27,3,Q4,2024-11
333,2024-11-28,20241128,2024,11,28,4,Q4,2024-11
334,2024-11-29,20241129,2024,11,29,5,Q4,2024-11
335,2024-11-30,20241130,2024,11,30,6,Q4,2024-11
336,2024-12-01,20241201,2024,12,1,7,Q4,2024-12
337,2024-12-02,20241202,2024,12,2,1,Q4,2024-12
338,2024-12-03,20241203,2024,12,3,2,Q4,2024-12
339,2024-12-04,20241204,2024,12,4,3,Q4,2024-12
340,2024-12-05,20241205,2024,12,5,4,Q4,2024-12
341,2024-12-06,20241206,2024,12,6,5,Q4,2024-12
342,2024-12-07,20241207,2024,12,7,6,Q4,2024-12
343,2024-12-08,20241208,2024,12,8,7,Q4,2024-12
344,2024-12-09,20241209,2024,12,9,1,Q4,2024-12
345,2024-12-10,20241210,2024,12,10,2,Q4,2024-12
346,2024-12-11,20241211,2024,12,11,3,Q4,2024-12
347,2024-12-12,20241212,2024,12,12,4,Q4,2024-12
348,2024-12-13,20241213,2024,12,13,5,Q4,2024-12
349,2024-12-14,20241214,2024,12,14,6,Q4,2024-12
350,2024-12-15,20241215,2024,12,15,7,Q4,2024-12
351,2024-12-16,20241216,2024,12,16,1,Q4,2024-12
352,2024-12-17,20241217,2024,12,17,2,Q4,2024-12
353,2024-12-18,20241218,2024,12,18,3,Q4,2024-12
354,2024-12-19,20241219,2024,12,19,4,Q4,2024-12
355,2024-12-20,20241220,2024,12,20,5,Q4,2024-12
356,2024-12-21,20241221,2024,12,21,6,Q4,2024-12
357,2024-12-22,20241222,2024,12,22,7,Q4,2024-12
358,2024-12-23,20241223,2024,12,23,1,Q4,2024-12
359,2024-12-24,20241224,2024,12,24,2,Q4,2024-12
360,2024-12-25,20241225,2024,12,25,3,Q4,2024-12
361,2024-12-26,20241226,2024,12,26,4,Q4,2024-12
362,2024-12-27,20241227,2024,12,27,5,Q4,2024-12
363,2024-12-28,20241228,2024,12,28,6,Q4,2024-12
364,2024-12-29,20241229,2024,12,29,7,Q4,2024-12
365,2024-12-30,20241230,2024,12,30,1,Q4,2024-12
366,2024-12-31,20241231,2024,12,31,2,Q4,2024-12
367,2025-01-01,20250101,2025,1,1,3,Q1,2025-01
368,2025-01-02,20250102,2025,1,2,4,Q1,2025-01
369,2025-01-03,20250103,2025,1,3,5,Q1,2025-01
370,2025-01-04,20250104,2025,1,4,6,Q1,2025-01
371,2025-01-05,20250105,2025,1,5,7,Q1,2025-01
372,2025-01-06,20250106,2025,1,6,1,Q1,2025-01
373,2025-01-07,20250107,2025,1,7,2,Q1,2025-01
374,2025-01-08,20250108,2025,1,8,3,Q1,2025-01
375,2025-01-09,20250109,2025,1,9,4,Q1,2025-01
376,2025-01-10,20250110,2025,1,10,5,Q1,2025-01
377,2025-01-11,20250111,2025,1,11,6,Q1,2025-01
378,2025-01-12,20250112,2025,1,12,7,Q1,2025-01
379,2025-01-13,20250113,2025,1,13,1,Q1,2025-01
380,2025-01-14,20250114,2025,1,14,2,Q1,2025-01
381,2025-01-15,20250115,2025,1,15,3,Q1,2025-01
382,2025-01-16,20250116,2025,1,16,4,Q1,2025-01
383,2025-01-17,20250117,2025,1,17,5,Q1,2025-01
384,2025-01-18,20250118,2025,1,18,6,Q1,2025-01
385,2025-01-19,20250119,2025,1,19,7,Q1,2025-01
386,2025-01-20,20250120,2025,1,20,1,Q1,2025-01
387,2025-01-21,20250121,2025,1,21,2,Q1,2025-01
388,2025-01-22,20250122,2025,1,22,3,Q1,2025-01
389,2025-01-23,20250123,2025,1,23,4,Q1,2025-01
390,2025-01-24,20250124,2025,1,24,5,Q1,2025-01
391,2025-01-25,20250125,2025,1,25,6,Q1,2025-01
392,2025-01-26,20250126,2025,1,26,7,Q1,2025-01
393,2025-01-27,20250127,2025,1,27,1,Q1,2025-01
394,2025-01-28,20250128,2025,1,28,2,Q1,2025-01
395,2025-01-29,20250129,2025,1,29,3,Q1,2025-01
396,2025-01-30,20250130,2025,1,30,4,Q1,2025-01
397,2025-01-31,20250131,2025,1,31,5,Q1,2025-01
398,2025-02-01,20250201,2025,2,1,6,Q1,2025-02
399,2025-02-02,20250202,2025,2,2,7,Q1,2025-02
400,2025-02-03,20250203,2025,2,3,1,Q1,2025-02
401,2025-02-04,20250204,2025,2,4,2,Q1,2025-02
402,2025-02-05,20250205,2025,2,5,3,Q1,2025-02
403,2025-02-06,20250206,2025,2,6,4,Q1,2025-02
404,2025-02-07,20250207,2025,2,7,5,Q1,2025-02
405,2025-02-08,20250208,2025,2,8,6,Q1,2025-02
406,2025-02-09,20250209,2025,2,9,7,Q1,2025-02
407,2025-02-10,20250210,2025,2,10,1,Q1,2025-02
408,2025-02-11,20250211,2025,2,11,2,Q1,2025-02
409,2025-02-12,20250212,2025,2,12,3,Q1,2025-02
410,2025-02-13,20250213,2025,2,13,4,Q1,2025-02
411,2025-02-14,20250214,2025,2,14,5,Q1,2025-02
412,2025-02-15,20250215,2025,2,15,6,Q1,2025-02
413,2025-02-16,20250216,2025,2,16,7,Q1,2025-02
414,2025-02-17,20250217,2025,2,17,1,Q1,2025-02
415,2025-02-18,20250218,2025,2,18,2,Q1,2025-02
416,2025-02-19,20250219,2025,2,19,3,Q1,2025-02
417,2025-02-20,20250220,2025,2,20,4,Q1,2025-02
418,2025-02-21,20250221,2025,2,21,5,Q1,2025-02
419,2025-02-22,20250222,2025,2,22,6,Q1,2025-02
420,2025-02-23,20250223,2025,2,23,7,Q1,2025-02
421,2025-02-24,20250224,2025,2,24,1,Q1,2025-02
422,2025-02-25,20250225,2025,2,25,2,Q1,2025-02
423,2025-02-26,20250226,2025,2,26,3,Q1,2025-02
424,2025-02-27,20250227,2025,2,27,4,Q1,2025-02
425,2025-02-28,20250228,2025,2,28,5,Q1,2025-02
426,2025-03-01,20250301,2025,3,1,6,Q1,2025-03
427,2025-03-02,20250302,2025,3,2,7,Q1,2025-03
428,2025-03-03,20250303,2025,3,3,1,Q1,2025-03
429,2025-03-04,20250304,2025,3,4,2,Q1,2025-03
430,2025-03-05,20250305,2025,3,5,3,Q1,2025-03
431,2025-03-06,20250306,2025,3,6,4,Q1,2025-03
432,2025-03-07,20250307,2025,3,7,5,Q1,2025-03
433,2025-03-08,20250308,2025,3,8,6,Q1,2025-03
434,2025-03-09,20250309,2025,3,9,7,Q1,2025-03
435,2025-03-10,20250310,2025,3,10,1,Q1,2025-03
436,2025-03-11,20250311,2025,3,11,2,Q1,2025-03
437,2025-03-12,20250312,2025,3,12,3,Q1,2025-03
438,2025-03-13,20250313,2025,3,13,4,Q1,2025-03
439,2025-03-14,20250314,2025,3,14,5,Q1,2025-03
440,2025-03-15,20250315,2025,3,15,6,Q1,2025-03
441,2025-03-16,20250316,2025,3,16,7,Q1,2025-03
442,2025-03-17,20250317,2025,3,17,1,Q1,2025-03
443,2025-03-18,20250318,2025,3,18,2,Q1,2025-03
444,2025-03-19,20250319,2025,3,19,3,Q1,2025-03
445,2025-03-20,20250320,2025,3,20,4,Q1,2025-03
446,2025-03-21,20250321,2025,3,21,5,Q1,2025-03
447,2025-03-22,20250322,2025,3,22,6,Q1,2025-03
448,2025-03-23,20250323,2025,3,23,7,Q1,2025-03
449,2025-03-24,20250324,2025,3,24,1,Q1,2025-03
